month, us_source ,real_income,CPI
Jan-96,24860,47432.56034,-0.001535735
Feb-96,33119,71231.25586,0.009938476
Mar-96,29038,39181.00401,-0.005857545
Apr-96,26475,38289.70332,0.012844685
May-96,37999,38645.15377,-0.001279814
Jun-96,42490,39504.34279,0.005941286
Jul-96,46407,40320.94992,-0.014939201
Aug-96,46972,38166.47792,0.038090759
Sep-96,39825,39184.60312,-0.005549264
Oct-96,36636,38461.01075,-0.003985879
Nov-96,24226,38175.05721,-0.000686028
Dec-96,26494,41994.46941,-0.006979405
Jan-97,31965,67568.16336,-0.006913239
Feb-97,36024,56562.96636,0.010674092
Mar-97,30934,40231.96177,-0.015153255
Apr-97,27073,40208.38157,0.006877258
May-97,38323,40543.41542,0.001273443
Jun-97,51283,40616.39941,0.016649324
Jul-97,63396,41216.4315,-0.000568634
Aug-97,47801,40101.37829,-0.001024124
Sep-97,38632,40145.99366,0.006492767
Oct-97,31202,39942.6474,-0.013354459
Nov-97,23617,39722.79733,-0.002752925
Dec-97,22530,44374.85635,0.000920175
Jan-98,43371,87453.07701,0.010227534
Feb-98,23305,42855.67128,-0.006142646
Mar-98,23949,40374.24639,0.006180611
Apr-98,25485,40420.58724,0.003412581
May-98,32644,41505.7432,-0.003174243
Jun-98,44143,39964.12556,0.014443307
Jul-98,48781,41679.07921,-0.006502242
Aug-98,43212,40579.49648,-0.004965019
Sep-98,28714,40662.75924,0.006123838
Oct-98,25938,39694.73331,0.008002705
Nov-98,20818,38670.57782,0.010175556
Dec-98,26053,43874.63426,-0.016382555
Jan-99,33089,54951.28031,-0.006752194
Feb-99,36988,72451.79372,0.010650351
Mar-99,25635,41497.14286,-0.019058296
Apr-99,33389,41348.1616,0.007085714
May-99,43054,41937.52829,0.002723559
Jun-99,55608,43088.75071,0.00101856
Jul-99,60294,43249.51644,-0.006331261
Aug-99,47569,42487.94708,0.014791216
Sep-99,36832,42540.34065,0.000560601
Oct-99,27104,40976.72347,0.006163156
Nov-99,28554,40941.58383,-0.002895645
Dec-99,25183,47364.87246,-0.006031498
Jan-00,35299,74548.52891,-0.003146421
Feb-00,36588,57973.7836,0.014767219
Mar-00,30095,42776.89873,-0.017107309
Apr-00,30376,42131.80901,0.008363472
May-00,41745,42158.8504,0.006164537
Jun-00,52736,43338.53876,-0.001336749
Jul-00,61115,43574.47286,-0.0054657
Aug-00,48999,42398.25581,0.003140422
Sep-00,39679,42443.48881,0.01397585
Oct-00,31070,41607.32003,0.000220531
Nov-00,26435,40382.30475,0.00926028
Dec-00,23165,46474.68494,-0.011906062
1-Jan,47894,84087.00441,0.003758567
1-Feb,21579,43912.45791,-0.018722467
1-Mar,27650,43125.14067,-0.002693603
1-Apr,26280,41839.49101,0.00821517
1-May,37535,42167.02021,-0.000223239
1-Jun,43935,43933.19929,-0.000558223
1-Jul,46008,43480.11204,-0.003016086
1-Aug,42660,44155.16474,0.006610644
1-Sep,19329,42473.95256,0.004229742
1-Oct,13588,42216.39917,0.015185103
1-Nov,13551,41224.17412,-0.01179168
1-Dec,17055,46501.74294,-0.017456635
2-Jan,27471,60398.74552,0.00393568
2-Feb,21390,61801.68216,0.012096774
2-Mar,18497,43085.40565,-0.016489597
2-Apr,17756,43053.01849,0.010239676
2-May,26693,43387.06067,-0.004900869
2-Jun,32029,43669.23334,0.003022163
2-Jul,34467,43270.47534,0.000111595
2-Aug,33535,43999.33028,-0.000334747
2-Sep,22237,44226.51625,-0.000669718
